ID;Sampler;Date;Start_Time;End_Time;Mean_Time;Q_sampling_m3_s;spm_sampling_g_l;Sand_flux_kg_s;Sand_flux_t_h;Sand_concentration_g_l
1;Pump;29.04.2022;;;09:30;199;;12.78;46;0.064
2;Pump;06.05.2022;;;10:00;237;;18.47;66.5;0.078
3;Pump;13.05.2022;;;10:15;300;;45;162;0.15
4;Pump;19.05.2022;;;10:25;339;;93.47;336.5;0.276
5;Pump;01.06.2022;;;09:45;208;;10.28;37;0.049
6;Pump;18.11.2022;;;13:45;98;;4.17;15;0.043
7;Pump;14.12.2022;;;09:30;135;;4.72;17;0.035
8;Pump;10.05.2023;09:16;12:04;10:40;470;1.3;217.5;783;0.463
9;Pump;10.05.2023;;;10:30;471;;219.44;790;0.466
10;Pump;25.05.2023;08:12;09:13;08:42;304;2.02;19.72;71;0.065
11;Pump;01.06.2023;;;07:00;295;1.57;70;252;0.237
12;Pump;01.06.2023;;;09:00;300;1.57;53.33;192;0.178
13;Pump;01.06.2023;;;11:00;310;1.57;80.56;290;0.26
14;Pump;15.06.2023;08:13;12:53;10:33;343;0.538;101.11;364;0.295
15;Pump;28.06.2023;04:48;06:21;05:34;207;1.85;76.67;276;0.37
16;Pump;28.06.2023;08:07;09:25;08:46;207;1.85;28.33;102;0.137
